Ward No,Ward Name,District Name,LSG Qid,Name in English,Name in Malyalam,LSG localbody code,Position,Party,Reservation
1,Kappil,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),General
2,Elakamon,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),Woman
3,Palayamkunnu,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),Woman
4,Chemmaruthy,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),Woman
5,Muttappalam,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,INC,Woman
6,Vadasserikkonam,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),General
7,Ottoor,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Vice President,CPI(M),Woman
8,Manamboor,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,INC,General
9,Kavalayoor,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),Woman
10,Cherunniyoor,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI(M),General
11,Vennicode,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI,SC Woman
12,Vettoor,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,President,CPI(M),General
13,Edava,Thiruvananthapuram ,Q20583855,Varkkala Block Panchayat,വർക്കല ബ്ലോക്ക് പഞ്ചായത്ത്,B010100,Member,CPI,SC
1,Pallickal,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),Woman
2,Madavoor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI,SC
3,Thumbode,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,President,CPI(M),Woman
4,Ponganadu,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),Woman
5,Kilimanoor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI,SC
6,Pazhayakunnummel,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI,General
7,Manjappara,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),General
8,Pulimath,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),General
9,Koduvazhanoor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,INC,General
10,Nagaroor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),Woman
11,Vellallor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI(M),General
12,Vanchiyoor,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Vice President,CPI(M),General
13,Karavaram,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,CPI,General
14,Navaikulam,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,INC,General
15,Thrikkovilvattam,Thiruvananthapuram ,Q13111249,Kilimanoor Block Panchayat,കിളിമാനൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B010200,Member,INC,Woman
1,Kayikkara,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,INC,Woman
2,Vakkom,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,CPI(M),SC Woman
3,Nilakkamukku,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,JD(S),General
4,Keezhattingal,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,CPI(M),SC
5,Mudakkal,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,INC,Woman
6,Valakkad,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,INC,General
7,Edackode,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Vice President,CPI(M),Woman
8,Puravoor,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,INC,Woman
9,Kizhuvilam,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,CPI(M),General
10,Chirayinkeezhu,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,CPI(M),Woman
11,Sarkara,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,CPI(M),Woman
12,Kadakkavoor,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,President,CPI(M),General
13,Anchuthengu,Thiruvananthapuram ,Q5101865,Chirayinkizhu Block Panchayat,ചിറയിൻകീഴ് ബ്ലോക്ക് പഞ്ചായത്ത്,B010300,Member,CPI(M),General
1,Kalamachal,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,CPI(M),Woman
2,Kallara,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,INC,Woman
3,Mithurmmala,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,INC,ST
4,Pangodu,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,INC,General
5,Bharathannoor,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,CPI(M),General
6,Ilavupalam,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,CPI(M),Woman
7,Peringammala,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,INC,SC
8,Palode,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,INC,General
9,Nanniyodu,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,President,CPI(M),General
10,Pullampara,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,CPI(M),Woman
11,Thalayal,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,CPI(M),Woman
12,Pirappancodu,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,CPI(M),SC Woman
13,Koliyakodu,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,INC,Woman
14,Nellanad,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Vice President,CPI(M),Woman
15,Manikkamangalam,Thiruvananthapuram ,Q16136229,Vamanapuram Block Panchayat,വാമനപുരം ബ്ലോക്ക് പഞ്ചായത്ത്,B010400,Member,INC,General
1,Vithura,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,CPI(M),General
2,Anappara,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,INC,ST
3,Parandod,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,CPI(M),Woman
4,Aryanadu,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,INC,Woman
5,Kuttichal,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,CPI(M),Woman
6,Pezhummoodu,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,INC,Woman
7,Veeranakavu,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,INC,Woman
8,Amachal,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,CPI(M),General
9,Kattakkada,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,CPI(M),General
10,Killi,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,INC,General
11,Poovachal,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,President,CPI,SC
12,Uriyakode,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Vice President,INC,Woman
13,Vellanad,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,INC,General
14,Kulappada,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,CPI(M),Woman
15,Chakarapanipuram,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,CPI,Woman
16,Tholicodu,Thiruvananthapuram ,Q16137887,Vellanad Block Panchayat,വെള്ളനാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010500,Member,INC,General
1,Panavoor,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,CPI(M),General
2,Attukal,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,INC,Woman
3,Chullimanoor,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,INC,Woman
4,Aruvikkara,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,CPI(M),Woman
5,Cheriyakonni,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,CPI,Woman
6,Kachani,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,CPI(M),Woman
7,Karakulam,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,CPI(M),General
8,Maruthoor,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,President,CPI(M),General
9,Vattappara,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Vice President,CPI,Woman
10,Nannattukavu,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,CPI,SC
11,Vettinadu,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,CPI(M),General
12,Venkavila,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,CPI(M),Woman
13,Thekkada,Thiruvananthapuram ,Q13112964,Nedumangad Block Panchayat,നെടുമങ്ങാട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010600,Member,INC,General
1,Azhoor,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,CPI(M),SC
2,Muttappalam,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,INC,General
3,Veiloor,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,INC,Woman
4,Kudavoor,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Vice President,CPI(M),General
5,Murukkumpuzha,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,President,INC,Woman
6,Manjamala,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,CPI,SC Woman
7,Pothencode,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,CPI(M),Woman
8,Andoorkonam,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,INC,Woman
9,Kaniyapuram,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,INC,General
10,Maithani,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,INC,General
11,Menamkulam,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,CPI(M),Woman
12,Thumba,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,INC,Woman
13,Puthukkurichi,Thiruvananthapuram ,Q16134274,Pothencode Block Panchayat,പോത്തന്‍കോട് ബ്ലോക്ക് പഞ്ചായത്ത്,B010700,Member,CPI(M),General
1,Puliyarakonam,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,INC,General
2,Vilappilsala,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Vice President,CPI,General
3,Malayinkeezhu,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,INC,General
4,Maranalloor,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,CPI(M),General
5,Oorootambalam,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,INC,General
6,Valiyarathala,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,INC,Woman
7,Balaramapuram,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,CPI(M),General
8,Athiyanoor,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,CPI(M),General
9,Pooncode,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,INC,General
10,Poonkulam,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,CPI(M),General
11,Vellayani,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,BJP,General
12,Pravachambalam,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,BJP,SC
13,Pallichal,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,INC,Woman
14,Machel,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,INC,General
15,Perukavu,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,President,CPI(M),Woman
16,Peyad,Thiruvananthapuram ,Q20580639,Nemam Block Panchayat,നേമം ബ്ലോക്ക് പഞ്ചായത്ത്,B010800,Member,CPI(M),SC
1,Kallikkadu,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,INC,Woman
2,Amboori,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,INDEPENDENT,General
3,Vellarada,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,INC,General
4,Kiliyoor,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,President,CPI,Woman
5,Panachamoodu,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,CPI(M),Woman
6,Kunnathukal,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,CPI(M),Woman
7,Kollayil,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,CPI(M),Woman
8,Manchavilakam,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,CPI(M),SC Woman
9,Perumkadavila,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,INC,General
10,Paliyodu,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,CPI(M),General
11,Aryancode,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Vice President,CPI(M),General
12,Chembooru,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,INC,General
13,Ottasekharamangalam,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,INC,Woman
14,Vazhichal,Thiruvananthapuram ,Q16136077,Perunkadavila Block Panchayat,പെരുങ്കടവിള ബ്ലോക്ക് പഞ്ചായത്ത്,B010900,Member,INC,SC
1,Muttacaud,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,INC,Woman
2,Peringammala,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Vice President,INC,General
3,Payattuvila,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,CPI(M),Woman
4,Avanakuzhi,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,CPI(M),Woman
5,Kamukincode,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,CPI(M),Woman
6,Venpakal,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,CPI(M),General
7,Nellimoodu,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,INC,General
8,Kanjiramkulam,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,President,INC,SC Woman
9,Lourdipuram,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,INC,General
10,Karumkulam,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,INC,General
11,Pulluvila,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,INC,Woman
12,Kottukal,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,INC,General
13,Venganoor,Thiruvananthapuram ,Q13109893,Athiyannoor Block Panchayat,അതിയന്നൂർ ബ്ലോക്ക് പഞ്ചായത്ത്,B011000,Member,CPI(M),General
1,Puthankada,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,Member,INC,General
2,Thirupuram,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,Member,CPI,General
3,Maryapuram,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,President,CPI(M),Woman
4,Udhayankulangara,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,Member,INC,Woman
5,Nediyamcode,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,Member,INC,Woman
6,Parasuvaykkal,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,Member,CPI(M),Woman
7,Parassala Town,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,Member,CPI(M),SC
8,Chenkavila,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,Member,CPI,General
9,Karode,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,Member,INC,Woman
10,Kulathoor,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,Member,CPI(M),Woman
11,Pozhiyoor,Thiruvananthapuram ,Q13113207,Parasala Block Panchayat,പാറശാല ബ്ലോക്ക് പഞ്ചായത്ത്,B011100,Member,INC,General
